iter	RMSE
0	81.37135308
1	73.67121981
2	66.68915627
3	60.77668515
4	56.66878742
5	52.11661772
6	49.65109843
7	47.09682432
8	45.15737546
9	43.64090453
10	42.43159075
11	41.29504111
12	39.78277828
13	39.19267115
14	38.72520674
15	38.16227403
16	37.45072817
17	36.80505486
18	36.15562151
19	35.74600339
20	35.35295249
21	34.83928833
22	34.58217821
23	34.04695143
24	33.54034202
25	33.0062083
26	32.54261432
27	32.20483101
28	31.575698
29	31.23819855
30	30.99914711
31	30.66317812
32	30.23864096
33	29.87728475
34	29.60528133
35	29.29500492
36	28.75682179
37	28.44621258
38	28.15783713
39	27.83217167
40	27.6293626
41	27.23983388
42	26.71306657
43	26.26832069
44	25.75680373
45	25.3636197
46	25.18512916
47	24.711206
48	24.37913944
49	24.0314235
50	23.62146381
51	23.42956929
52	23.00308717
53	22.71469757
54	22.411087
55	21.97197313
56	21.6838947
57	21.33102535
58	21.08956512
59	20.85068382
60	20.6191351
61	20.26587299
62	20.03134338
63	19.69146379
64	19.50586525
65	19.24914179
66	18.95996419
67	18.74522418
68	18.55270555
69	18.50436444
70	18.2810504
71	18.0525507
72	17.71844035
73	17.55275566
74	17.34747303
75	17.18399784
76	17.03772533
77	16.9766243
78	16.80711178
79	16.50898453
80	16.19368602
81	15.96792324
82	15.76484612
83	15.71118416
84	15.62985312
85	15.3641858
86	15.22230981
87	15.11663945
88	14.9283753
89	14.71763047
90	14.55233767
91	14.3781374
92	14.34116016
93	14.17142602
94	14.14619138
95	14.02626253
96	13.95218612
97	13.83574878
98	13.70390245
99	13.66821867
100	13.50390856
101	13.40118027
102	13.23601475
103	13.16746663
104	13.07693785
105	12.96124463
106	12.76567299
107	12.70628627
108	12.62109627
109	12.49159579
110	12.38897602
111	12.34241967
112	12.20388296
113	12.0996164
114	11.91516058
115	11.90537124
116	11.71676827
117	11.61608421
118	11.4362446
119	11.31587305
120	11.26360648
121	11.11111899
122	10.98214754
123	10.87878901
124	10.78299132
125	10.66737114
126	10.65999402
127	10.5799999
128	10.44001431
129	10.38464539
130	10.34784078
131	10.22787978
132	10.18848209
133	10.05707227
134	9.973191925
135	9.853862417
136	9.793799017
137	9.719352104
138	9.676520304
139	9.568872048
140	9.527708273
141	9.408303697
142	9.33932207
143	9.211263597
144	9.13564764
145	9.109293083
146	9.089807679
147	9.024644211
148	8.941364916
149	8.864783248
150	8.811995288
151	8.745542187
152	8.648554966
153	8.548163594
154	8.477576972
155	8.45336483
156	8.427454416
157	8.363952528
158	8.269284579
159	8.189468209
160	8.102771846
161	8.000768559
162	7.935637995
163	7.861921233
164	7.849028859
165	7.758543838
166	7.742304611
167	7.688744906
168	7.642382615
169	7.567618378
170	7.508237152
171	7.430470119
172	7.405853554
173	7.371259183
174	7.347044727
175	7.248356344
176	7.212478019
177	7.173667231
178	7.151587864
179	7.073496824
180	7.032965532
181	6.957996995
182	6.905850165
183	6.855669074
184	6.801488565
185	6.785547746
186	6.775365374
187	6.72064874
188	6.66045436
189	6.577962084
190	6.522496252
191	6.457757177
192	6.415896851
193	6.334108693
194	6.329309104
195	6.320552737
196	6.262280838
197	6.245603193
198	6.204925729
199	6.179666756
200	6.126825618
201	6.070013798
202	6.011795919
203	5.941731484
204	5.891234702
205	5.857526285
206	5.809209117
207	5.765452362
208	5.711635107
209	5.687147644
210	5.627212213
211	5.575950171
212	5.518283065
213	5.511404007
214	5.461837326
215	5.411051099
216	5.364986397
217	5.326423211
218	5.31376913
219	5.268120243
220	5.241825405
221	5.203019577
222	5.143820962
223	5.114634247
224	5.056930149
225	5.012953385
226	4.95678012
227	4.925761349
228	4.880699094
229	4.80395404
230	4.761436487
231	4.732245477
232	4.704621141
233	4.672948038
234	4.656871905
235	4.633661544
236	4.606711132
237	4.577632241
238	4.557023895
239	4.553744772
240	4.508983971
241	4.44907367
242	4.437996696
243	4.40442053
244	4.390863165
