Date,DayOfWeek,DayOfMonth,Month,Is_Start_Of_Month,Is_End_Of_Month,Is_Weekend,Is_Holiday,Is_Vacation,Is_Exam_Period,Is_Fest,Days_Until_Holiday,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,Is_Broke_Weekend,Is_Rich_Weekend,WeekOfYear,DayOfYear,Target_Headcount,Target_1_Days_Ago,Target_2_Days_Ago,Target_3_Days_Ago,Target_7_Days_Ago,Target_14_Days_Ago,Target_21_Days_Ago,Target_3_Day_Avg,Target_3_Day_Std,Target_3_Day_Max,Target_3_Day_Min,Target_7_Day_Avg,Target_7_Day_Std,Target_7_Day_Max,Target_7_Day_Min,Target_14_Day_Avg,Target_14_Day_Std,Target_14_Day_Max,Target_14_Day_Min,Target_28_Day_Avg,Target_28_Day_Std,Target_28_Day_Max,Target_28_Day_Min,Target_EWMA_7,Target_EWMA_14,Trend_7_vs_28
2026-01-01,Thursday,1,1,1,0,0,0,1,0,0,9.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,1,1,10.0,16.0,14.0,7.0,10.0,18.0,47.0,12.333333333333334,4.725815626252535,16.0,7.0,10.428571428571429,4.035556254818568,16.0,4.0,12.357142857142858,4.8295109301213035,20.0,4.0,19.321428571428573,11.521489009439605,47.0,4.0,12.296667971792886,14.831567930358393,0.5131810193321616
2026-01-02,Friday,2,1,1,0,0,0,1,0,0,8.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,1,2,29.0,10.0,16.0,14.0,11.0,14.0,28.0,13.333333333333334,3.0550504633037847,16.0,10.0,10.428571428571429,4.035556254818568,16.0,4.0,11.785714285714286,4.57717701760973,20.0,4.0,18.142857142857142,10.665674557033043,47.0,4.0,11.722500978844664,14.187358872977274,0.5447761194029851
2026-01-03,Saturday,3,1,1,0,1,0,1,0,0,7.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,1,1,3,8.0,29.0,10.0,16.0,4.0,7.0,10.0,18.333333333333332,9.712534856222282,29.0,10.0,13.0,8.124038404641468,29.0,4.0,12.857142857142858,6.490906572417561,29.0,4.0,17.857142857142858,10.240494366369868,47.0,4.0,16.041875734133498,16.162377689913637,0.6893939393939393
2026-01-04,Sunday,4,1,1,0,1,0,1,0,0,6.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,1,1,4,25.0,8.0,29.0,10.0,11.0,15.0,19.0,15.666666666666666,11.590225767142448,29.0,8.0,13.571428571428571,7.502380574577874,29.0,7.0,12.928571428571429,6.426678598014932,29.0,4.0,17.678571428571427,10.37109077240441,47.0,4.0,14.031406800600124,15.07406066459182,0.7265774378585087
2026-01-05,Monday,5,1,1,0,0,0,0,0,0,5.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,2,5,76.0,25.0,8.0,29.0,7.0,8.0,16.0,20.666666666666668,11.150485789118466,29.0,8.0,15.571428571428571,8.502100580786035,29.0,7.0,13.642857142857142,7.185531861445857,29.0,4.0,17.321428571428573,9.914648987744975,47.0,4.0,16.773555100450093,16.397519242646243,0.8499025341130604
2026-01-06,Tuesday,6,1,1,0,0,0,0,0,0,4.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,2,6,141.0,76.0,25.0,8.0,14.0,20.0,15.0,36.333333333333336,35.388321990924254,76.0,8.0,25.428571428571427,23.564501146550853,76.0,8.0,18.5,17.96899038300709,76.0,4.0,19.142857142857142,14.83917309694131,76.0,4.0,31.58016632533757,24.344516676960076,1.2624113475177305
2026-01-07,Wednesday,7,1,1,0,0,0,0,0,0,3.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,2,7,132.0,141.0,76.0,25.0,16.0,18.0,14.0,80.66666666666667,58.140634098136,141.0,25.0,43.57142857142857,48.74032260479119,141.0,8.0,27.142857142857142,37.3710236224992,141.0,4.0,23.178571428571427,27.392961479625903,141.0,4.0,58.935124744003176,39.89858112003206,1.8020679468242244
2026-01-08,Thursday,8,1,0,0,0,0,0,0,0,2.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,2,8,234.0,132.0,141.0,76.0,10.0,10.0,18.0,116.33333333333333,35.21836642056719,141.0,76.0,60.142857142857146,56.849006357275805,141.0,8.0,35.285714285714285,46.52448250682065,141.0,4.0,26.535714285714285,34.19278908478741,141.0,4.0,77.20134355800238,52.17877030402779,2.184176394293126
2026-01-09,Friday,9,1,0,0,0,0,0,0,0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,2,9,175.0,234.0,132.0,141.0,29.0,11.0,14.0,169.0,56.47123161398201,234.0,132.0,92.14285714285714,81.58314485118582,234.0,8.0,51.285714285714285,69.8365438516458,234.0,4.0,33.214285714285715,51.976032327486,234.0,4.0,116.40100766850179,76.42160093015742,2.693110647181628
2026-01-10,Saturday,10,1,0,0,1,1,0,0,0,0.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,0,2,10,38.0,175.0,234.0,132.0,8.0,4.0,7.0,180.33333333333334,51.20872321522316,234.0,132.0,113.0,81.41252974819068,234.0,8.0,63.0,76.03845181121288,234.0,4.0,38.464285714285715,58.45066431384757,234.0,4.0,131.05075575137636,89.5653874728031,2.863348416289593
